Institution 1,Institution 2,Institution 3,Serial Number,Chinese Title,Pinyin Title,English Title,Alt Title,Year Range,Note,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,都指揮使司 The Regional Military Commission,2993, 副使（倉庫）,cang ku fu shi,Storehouse Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,都指揮使司 The Regional Military Commission,2994, 大使（草場）,cao chang da shi,Pasture Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,都指揮使司 The Regional Military Commission,2995, 副使（草場）,cao chang fu shi,Pasture Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,2996, 行都指揮使,xing du zhi hui shi,Auxiliary Regional Military Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,2997, 行都指揮同知,xing du zhi hui tong zhi,Auxiliary Regional Military Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,2998, 行都指揮僉事,xing du zhi hui qian shi,Auxiliary Regional Military Assistant Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,2999, 經歷（經歷司）,jing li si jing li,Registrar of the Registry,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,3000, 都事（經歷司）,jing li si du shi,Office Manager of the Registry,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,3001, 吏目（經歷司）,jing li si li mu,Registry Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,3002, 斷事（斷事司）,du si duan shi,Judge of the Judicial Office,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,3003, 副斷事（斷事司）,du si fu duan shi,Assistant Judge of the Judicial Office,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,3004, 吏目（斷事司）,duan shi si li mu,Clerk in the Judicial Office,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,3005, 司獄（司獄司）,si yu si si yu,Warder of the Prison,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,3006, 大使（倉庫）,cang ku da shi,Storehouse Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,3007, 副使（倉庫）,cang ku fu shi,Storehouse Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,3008, 大使（草場）,cao chang da shi,Pasture Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,行都指揮使司 The Auxiliary Regional Military Commission,3009, 副使（草場）,cao chang fu shi,Pasture Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,衛指揮使司 Guard Military Commands,3010, 衛指揮使,wei zhi hui shi,Guard Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,衛指揮使司 Guard Military Commands,3011, 衛指揮副使,wei zhi hui fu shi,Guard Vice Commander,,,,,A post existed in the early Ming
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,衛指揮使司 Guard Military Commands,3012, 衛指揮同知,wei zhi hui tong zhi,Guard Deputy Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,衛指揮使司 Guard Military Commands,3013, 衛指揮僉事,wei zhi hui qian shi,Guard Assistant Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,衛指揮使司 Guard Military Commands,3014, 鎮撫（鎮撫司）,zhen fu si zhen fu,Judge in the Prison,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,衛指揮使司 Guard Military Commands,3015, 經歷（經歷司）,jing li si jing li,Registrar of the Registry,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,衛指揮使司 Guard Military Commands,3016, 知事（經歷司）,jing li si zhi shi,Registry Administrative Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,衛指揮使司 Guard Military Commands,3017, 吏目（經歷司）,jing li si li mu,Registry Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,衛指揮使司 Guard Military Commands,3018, 倉大使,cang da shi ,Storehouse Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,衛指揮使司 Guard Military Commands,3019, 倉副使,cang fu shi,Storehouse Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,衛指揮使司 Guard Military Commands,3020, 散騎舍人,san qi she ren,Drafter of the Cavalier Attendant,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,衛指揮使司 Guard Military Commands,3021, 參侍舍人,can shi she ren,Drafter in Service,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,所指揮使司 Battalion Military Commissions,3022, 正千戶（千戶所）,qian hu suo zheng qian hu,Battalion Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,所指揮使司 Battalion Military Commissions,3023, 副千戶（千戶所）,qian hu suo fu qian hu,Battalion Vice Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,所指揮使司 Battalion Military Commissions,3024, 鎮撫（千戶所）,qian hu suo zhen fu,Battalion Judge,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,所指揮使司 Battalion Military Commissions,3025, 吏目（千戶所）,qian hu suo li mu,Battalion Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,所指揮使司 Battalion Military Commissions,3026, 百戶,bai hu,Company Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,所指揮使司 Battalion Military Commissions,3027, 總旗,zong qi,Platoon Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,所指揮使司 Battalion Military Commissions,3028, 小旗,xiao qi,Squad Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,所指揮使司 Battalion Military Commissions,3029, 正萬戶（萬戶府）,wan hu suo zheng wan hu,Brigade Commander,,,,,"A post of short existence in the early Ming, abolished along with 萬戶府wan hu fu, per Ming Shi, juan 76"
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,所指揮使司 Battalion Military Commissions,3030, 副萬戶（萬戶府）,wan hu suo fu wan hu,Brigade Vice Commander,,,,,"A post of short existence in the early Ming, abolished along with 萬戶府wan hu fu, per Ming Shi, juan 76"
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,所指揮使司 Battalion Military Commissions,3031, 知事（萬戶府）,wan hu suo zhi shi,Brigade Administrative Clerk,,,,,"A post of short existence in the early Ming, abolished along with 萬戶府wan hu fu, per Ming Shi, juan 76"
地方軍事與治安機構類 Regional and Local Military Units,(行)都指揮使司門 (Auxiliary) Regional and Local Military Units,所指揮使司 Battalion Military Commissions,3032, 照磨（萬戶府）,wan hu suo zhao mo,Brigade Record Keeper,,,,,"A post of short existence in the early Ming, abolished along with 萬戶府wan hu fu, per Ming Shi, juan 76"
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3033, 番夷都指揮使,fan yi du zhi hui shi,Commander-in-chief of Frontier Natives,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3034, 番夷都指揮同知,fan yi du zhi hui tong zhi,Vice Commander-in-chief of Frontier Natives,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3035, 番夷都指揮僉事 ,fan yi du zhi hui qian shi,Assistant Vice Commander-in-chief of Frontier Natives,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3036, 經歷（經歷司）,jing li si jing li,Registrar of the Registry,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3037, 都事（經歷司）,jing li si du shi,Office Manager of the Registry,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3038, 吏目（經歷司）,jing li si li mu,Registry Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3039, 斷事（斷事司）,duan shi si duan shi,Judge of the Judicial Office,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3040, 副斷事（斷事司）,duan shi si fu duan shi,Deputy Judge of the Judicial Office,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3041, 吏目（斷事司）,duan shi si li mu,Judicial Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3042, 司獄（司獄司）,si yu si si yu,Warder of the Prison,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3043, 大使（倉庫）,cang ku da shi,Storehouse Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3044, 副使（倉庫）,cang ku fu shi,Storehouse Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3045, 大使（草場）,cao chang da shi,Pasture Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷都指揮使司 Regional Military Commission of Frontier Natives,3046, 副使（草場）,cao chang fu shi,Pasture Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3047, 指揮使,fan yi wei zhi hui shi,Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3048, 指揮同知,zhi hui tong zhi,Associate Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3049, 指揮僉事 ,zhi hui qian shi,Assistant Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3050, 鎮撫（鎮撫司）,zhen fu si zhen fu,Judge in the Prison,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3051, 經歷（經歷司）,jing li si jing li,Registrar of the Registry,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3052, 知事（經歷司）,jing li si zhi shi,Registry Administrative Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3053, 吏目（經歷司）,jing li si li mu,Registry Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3054, 倉大使,cang da shi,Storehouse Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3055, 倉副使,cang fu shi,Storehouse Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3056, 正千戶（千戶所）,qian hu suo zheng qian hu,Battalion Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3057, 副千戶（千戶所）,qian hu suo fu qian hu,Battalion Vice Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3058, 鎮撫（千戶所）,qian hu suo zhen fu,Judge in a Battalion,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3059, 吏目（千戶所）,qian hu suo li mu,Clerk in a Battalion,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3060, 百戶,bai hu,Company Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3061, 總旗,zong qi,Platoon Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,番夷都指揮使司門 Frontier Native Military Units,番夷衞指揮使司 Guard Command of Frontier Natives,3062, 小旗,xiao qi,Squad Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣慰使司 Pacification Commission,3063, 都元帥,du yuan Shuai,Pacification Commander-in-chief,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣慰使司 Pacification Commission,3064, 宣慰使,xuan wei shi,Pacification Commissioner,alt. 經略使jing lve shi,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣慰使司 Pacification Commission,3065, 同知,tong zhi,Associate Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣慰使司 Pacification Commission,3066, 副使,fu shi,Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣慰使司 Pacification Commission,3067, 僉事,qian shi,Assistant Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣慰使司 Pacification Commission,3068, 經歷（經歷司）,jing li si jing li,Registrar of the Registry,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣慰使司 Pacification Commission,3069, 都事（經歷司）,jing li si du shi,Office Manager of the Registry,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣撫司 Pacification Commission,3070, 宣撫使,xuan fu shi,Pacification Commissioner,alt. 宣撫 xuan fu,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣撫司 Pacification Commission,3071, 同知,tong zhi,Pacification Associate Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣撫司 Pacification Commission,3072, 副使,fu shi,Pacification Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣撫司 Pacification Commission,3073, 僉事,qian shi,Pacification Assistant Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣撫司 Pacification Commission,3074, 經歷（經歷司）,jing li si jing li,Registrar of the Registry,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣撫司 Pacification Commission,3075, 知事（經歷司）,jing li si zhi shi,Registry Administrative Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,宣撫司 Pacification Commission,3076, 照磨（照磨所）,zhao mo suo zhao mo,Record Keeper of the Records Office,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,安撫司 Pacification Commission,3077, 安撫使,an fu shi,Pacification Commissioner,alt. 經略使 jing lve shi; 安撫 an fu,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,安撫司 Pacification Commission,3078, 同知,tong zhi,Pacification Deputy Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,安撫司 Pacification Commission,3079, 副使,fu shi,Pacification Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,安撫司 Pacification Commission,3080, 僉事,qian shi,Pacification Assistant Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,安撫司 Pacification Commission,3081, 吏目,li mu,Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,招討司 Pacification Commission,3082, 招討使,zhao tao shi,Pacification Commissioner,alt. 招討 zhao tao,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,招討司 Pacification Commission,3083, 副招討,fu zhao tao,Pacification Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,招討司 Pacification Commission,3084, 吏目,li mu,Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,長官司 Chiefs Office,3085, 長官,zhang guan,Chief,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,長官司 Chiefs Office,3086, 副長官,fu zhang guan,Vice Chief,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,長官司 Chiefs Office,3087, 吏目,li mu,Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,蠻夷長官司 Aboriginal Chiefs Office,3088, 長官,zhang guan,Chief,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,蠻夷長官司 Aboriginal Chiefs Office,3089, 副長官,fu zhang guan,Vice Chief,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,蠻夷長官司 Aboriginal Chiefs Office,3090, 蠻夷官,man yi guan,Tribal Chief,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,蠻夷長官司 Aboriginal Chiefs Office,3091, 苗民官,miao min guan,Chief of a Miao Tribe,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,蠻夷長官司 Aboriginal Chiefs Office,3092, 千夫長,qian fu zhang,Battalion Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,招討經略安撫使門 Various Pacification Commissions,蠻夷長官司 Aboriginal Chiefs Office,3093, 副千夫長,fu qian fu zhang,Battalion Vice Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府護衞指揮使司 Escort Guard of a Princely Establishment,3094, 指揮使,zhi hui shi,Escort Guard Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府護衞指揮使司 Escort Guard of a Princely Establishment,3095, 指揮同知,zhi hui tong zhi,Escort Guard Vice Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府護衞指揮使司 Escort Guard of a Princely Establishment,3096, 指揮僉事,zhi hui qian shi,Escort Guard Assistant Commander,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府護衞指揮使司 Escort Guard of a Princely Establishment,3097, 鎮撫（鎮撫司）,zhen fu si zhen fu,Judge in the Prison,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府護衞指揮使司 Escort Guard of a Princely Establishment,3098, 經歷（經歷司）,jing li si jing li,Registrar of the Registry,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府護衞指揮使司 Escort Guard of a Princely Establishment,3099, 知事（經歷司） ,jing li si zhi shi,Registry Administrative Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府護衞指揮使司 Escort Guard of a Princely Establishment,3100, 吏目（經歷司）,jing li si li mu,Registry Clerk,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府護衞指揮使司 Escort Guard of a Princely Establishment,3101, 倉大使,cang da shi,Granary Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府護衞指揮使司 Escort Guard of a Princely Establishment,3102, 倉副使,cang fu shi,Granary Vice Commissioner,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府儀衞司 Ceremonial Guard of a Princely Establishment (1370-cir.1400); cir.1403-),3103, 儀衛正,yi wei zheng,Director,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府儀衞司 Ceremonial Guard of a Princely Establishment (1370-cir.1400); cir.1403-),3104, 儀衛副,yi wei fu,Vice Director,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府儀衞司 Ceremonial Guard of a Princely Establishment (1370-cir.1400); cir.1403-),3105, 典仗,dian zhang,Manager of Ceremonial Regalia,,,,,"Replaced 司仗 si zhang in Hongwu 4 (1371) per Ming Shi, juan 76"
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府儀衞司 Ceremonial Guard of a Princely Establishment (1370-cir.1400); cir.1403-),3106, 司仗,si zhang,Swordsman,,,,,"Replaced by 典仗 dian zhang in Hongwu 4 (1371) per Ming Shi, juan 76"
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府儀衞司 Ceremonial Guard of a Princely Establishment (1370-cir.1400); cir.1403-),3107, 儀衛,yi wei,Ceremonial Guard,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府儀衞司 Ceremonial Guard of a Princely Establishment (1370-cir.1400); cir.1403-),3108, 護衛,hu wei,Escord Guard,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府儀杖司 Insignia Office of a Princely Establishment (cir.1400-cir.1403),3109, 司正,si zheng,Director,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府儀杖司 Insignia Office of a Princely Establishment (cir.1400-cir.1403),3110, 司副,si fu,Vice Director,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府儀杖司 Insignia Office of a Princely Establishment (cir.1400-cir.1403),3111, 典仗,dian zhang,Manager of Ceremonial Regalia,,,,,
地方軍事與治安機構類 Regional and Local Military Units,王府護衞門 Escort Guard of Princely Establishment,王府儀杖司 Insignia Office of a Princely Establishment (cir.1400-cir.1403),3112, 吏目,li mu,Clerk,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3113, 公,gong,Duke,alt.國公,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3114, 上公,shang gong,Superior Duke,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3115, 侯,hou,Marquis,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3116, 伯,bo,Earl,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3117, 郡公,jun gong,Commandery Duke,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3118, 郡侯,jun hou,Commandery Marquis,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3119, 郡伯,jun bo,Commandery Earl,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3120, 縣子,xian zi,District Viscount,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3121, 縣男,xian nan,District Baron,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3122, 鎮國上將軍,zhen guo shang jiang jun,Defender-generalissimo of the State,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3123, 奉國上將軍,feng guo shang jiang jun,Supporter-generalissimo of the State,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3124, 金吾上將軍,jin wu shang jiang jun,Imperial Insignia General,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3125, 鎮國將軍,zhen guo jiang jun,Defender-general of the State,,,,,
文武散階勛爵類 Honorary Civil and Military Titles,勛爵門 Noble Titles,,3126, 輔國將軍,fu guo jiang jun,Bulwark-general of the State,,,,,
