Institution 1,Institution 2,Institution 3,Serial Number,Chinese Title,Pinyin Title,English Title,Alt Title,Year Range,Note,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,92, 郡王 ,jun wang,Commandery Prince,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,93, 郡王世子 ,jun wang shi zi,Heir of a Commandery Prince,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,94, 世孫 ,shi sun,Grandson-heir,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,95, 大長公主 ,da zhang gong zhu,Princess Supreme,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,96, 長公主 ,zhang gong zhu,Grand Princess,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,97, 公主 ,gong zhu,Princess,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,98, 駙馬都尉 ,fu ma du wei,Commandant-escort,alt. 駙馬 fu ma,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,99, 郡主 ,jun zhu,Commandery Princess,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,100, 縣主 ,xian zhu,Daughter of a Commandery Princess,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,101, 郡君 ,jun jun,Commandery Mistress,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,102, 縣君 ,xian jun,District Mistress,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,103, 鄉君 ,xiang jun,Township Mistress ,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,,104, 儀賓 ,yi bin,Ceremonial Companion,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,宗人府 The Imperial Clan Court,105, 宗人令 ,zong ren ling,Director,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,宗人府 The Imperial Clan Court,106, 左宗正 ,zuo zong zheng,Left Associate Director,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,宗人府 The Imperial Clan Court,107, 右宗正 ,you zong zheng,Right Associate Director,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,宗人府 The Imperial Clan Court,108, 左宗人 ,zuo zong ren,Left Assistant Director,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,宗人府 The Imperial Clan Court,109, 右宗人 ,you zong ren,Right Assistant Director,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,宗人府 The Imperial Clan Court,110, 經歷（經歷司） ,jing li si jing li,Registrar of the Registry,,,,,
